year,week,lineup_rank,firstName,lastName,position,salary,eventId
2025,1,1,Jeff,Teat,A,50,2025-ev-4
2025,1,1,Blaze,Riorden,G,48,2025-ev-1
2025,1,1,Trevor,Baptiste,FO,45,2025-ev-4
2025,1,1,Will,Manny,A,7,2025-ev-4
2025,1,1,Ethan,Rall,D,15,2025-ev-4
2025,1,1,Brad,Smith,M,20,2025-ev-3
2025,1,1,Connor,Kirst,M,15,2025-ev-4
2025,1,2,Jeff,Teat,A,50,2025-ev-4
2025,1,2,Trevor,Baptiste,FO,45,2025-ev-4
2025,1,2,Colin,Kirst,G,17,2025-ev-4
2025,1,2,Tom,Schreiber,M,46,2025-ev-3
2025,1,2,Will,Manny,A,7,2025-ev-4
2025,1,2,Ethan,Rall,D,15,2025-ev-4
2025,1,2,Brad,Smith,M,20,2025-ev-3
2025,1,3,Jeff,Teat,A,50,2025-ev-4
2025,1,3,Blaze,Riorden,G,48,2025-ev-1
2025,1,3,Trevor,Baptiste,FO,45,2025-ev-4
2025,1,3,Will,Manny,A,7,2025-ev-4
2025,1,3,Ethan,Rall,D,15,2025-ev-4
2025,1,3,Adam,Poitras,M,20,2025-ev-3
2025,1,3,Connor,Kirst,M,15,2025-ev-4
2025,1,4,Jeff,Teat,A,50,2025-ev-4
2025,1,4,Trevor,Baptiste,FO,45,2025-ev-4
2025,1,4,Colin,Kirst,G,17,2025-ev-4
2025,1,4,Tom,Schreiber,M,46,2025-ev-3
2025,1,4,Will,Manny,A,7,2025-ev-4
2025,1,4,Ethan,Rall,D,15,2025-ev-4
2025,1,4,Adam,Poitras,M,20,2025-ev-3
2025,1,5,Jeff,Teat,A,50,2025-ev-4
2025,1,5,Blaze,Riorden,G,48,2025-ev-1
2025,1,5,Trevor,Baptiste,FO,45,2025-ev-4
2025,1,5,Will,Manny,A,7,2025-ev-4
2025,1,5,Ethan,Rall,D,15,2025-ev-4
2025,1,5,Graham,Bundy,M,18,2025-ev-2
2025,1,5,Connor,Kirst,M,15,2025-ev-4
2025,2,1,Chris,Kavanagh,A,35,2025-ev-8
2025,2,1,Jackson,Eicher,A,31,2025-ev-5
2025,2,1,Ben,Ramsey,D,24,2025-ev-7
2025,2,1,JJ,Sillstrop,M,25,2025-ev-8
2025,2,1,Colin,Kirst,G,24,2025-ev-7
2025,2,1,Andrew,McAdorey,M,27,2025-ev-8
2025,2,1,Joseph,Nardella,FO,27,2025-ev-6
2025,2,2,Chris,Kavanagh,A,35,2025-ev-8
