year,week,firstName,lastName,position,salary,eventId,actualPoints
2025,1,Logan,Wisnauskas,A,20,2025-ev-2,42.0
2025,1,Matt,Moore,A,15,2025-ev-3,17.0
2025,1,Liam,Entenmann,G,42,2025-ev-1,40.0
2025,1,Trevor,Baptiste,FO,45,2025-ev-4,22.2
2025,1,Matt,Campbell,M,37,2025-ev-4,30.0
2025,1,Bryan,Costabile,M,31,2025-ev-1,30.0
2025,1,Piper,Bond,D,5,2025-ev-3,9.5
2025,2,Owen,McElroy,G,24,2025-ev-5,10.0
2025,2,Connor,Fields,A,48,2025-ev-7,4.0
2025,2,Rob,Pannell,A,35,2025-ev-6,7.0
2025,2,Joseph,Nardella,FO,27,2025-ev-6,14.9
2025,2,Tom,Schreiber,M,39,2025-ev-7,12.0
2025,2,Graham,Bundy,M,18,2025-ev-5,22.0
2025,2,Piper,Bond,D,6,2025-ev-7,4.0
2025,3,Brett,Dobson,G,46,2025-ev-10,24.0
2025,3,Asher,Nolting,A,39,2025-ev-9,24.0
2025,3,Michael,Boehm,A,5,2025-ev-12,1.0
2025,3,Connor,Kelly,M,28,2025-ev-9,12.0
2025,3,Zach,Currier,M,28,2025-ev-9,25.0
2025,3,Luke,Wierman,FO,21,2025-ev-12,10.2
2025,3,Garrett,Epple,D,32,2025-ev-9,12.0
2025,4,Rob,Pannell,A,23,2025-ev-16,47.0
2025,4,Blaze,Riorden,G,48,2025-ev-16,0.0
2025,4,Brennan,O'Neill,A,40,2025-ev-15,18.0
2025,4,Trevor,Baptiste,FO,35,2025-ev-13,12.4
2025,4,Ross,Scott,M,19,2025-ev-16,-3.0
2025,4,Zach,Currier,M,19,2025-ev-13,29.0
2025,4,Mason,Woodward,D,12,2025-ev-15,3.0
2025,5,Chris,Kavanagh,A,42,2025-ev-17,33.0
2025,5,Dylan,Molloy,A,46,2025-ev-17,17.0
2025,5,Chayse,Ierlan,G,30,2025-ev-17,17.0
2025,5,Trevor,Baptiste,FO,33,2025-ev-18,40.7
2025,5,Charlie,Bertrand,M,18,2025-ev-17,0.0
2025,5,JJ,Sillstrop,M,21,2025-ev-20,1.0
2025,5,Piper,Bond,D,7,2025-ev-18,0.5
2025,7,Dylan,Molloy,A,40,2025-ev-25,18.0
2025,7,Blaze,Riorden,G,44,2025-ev-25,48.0
2025,7,Connor,Shellenberger,A,42,2025-ev-23,70.0
2025,7,Trevor,Baptiste,FO,35,2025-ev-23,17.6
2025,7,Tom,Schreiber,M,22,2025-ev-24,38.0
2025,7,Grant,Ament,M,12,2025-ev-24,39.0
2025,7,Michael,Rexrode,D,4,2025-ev-23,11.0
2025,8,Emmet,Carroll,G,40,2025-ev-30,41.0
2025,8,Owen,Hiltz,A,35,2025-ev-28,71.0
2025,8,Chris,Kavanagh,A,36,2025-ev-27,42.0
2025,8,Joseph,Nardella,FO,27,2025-ev-30,6.1
2025,8,Ross,Scott,M,25,2025-ev-28,18.0
2025,8,Tom,Schreiber,M,26,2025-ev-28,-4.0
2025,8,Cam,Wyers,D,9,2025-ev-28,11.0
2025,9,Blaze,Riorden,G,44,2025-ev-33,46.0
2025,9,Chris,Kavanagh,A,36,2025-ev-31,43.0
2025,9,Connor,Fields,A,29,2025-ev-34,12.0
2025,9,TD,Ierlan,FO,29,2025-ev-31,13.4
2025,9,Grant,Ament,M,18,2025-ev-31,-2.0
2025,9,Zach,Currier,M,19,2025-ev-33,25.5
2025,9,Graeme,Hossack,D,24,2025-ev-31,24.0
2025,10,Emmet,Carroll,G,38,2025-ev-37,42.0
2025,10,Owen,Hiltz,A,46,2025-ev-35,53.0
2025,10,Josh,Zawada,A,16,2025-ev-35,10.0
2025,10,Trevor,Baptiste,FO,24,2025-ev-38,6.9
2025,10,Zach,Currier,M,18,2025-ev-36,4.0
2025,10,Jared,Bernhardt,M,15,2025-ev-38,36.0
2025,10,Ajax,Zappitello,D,23,2025-ev-37,30.0
2025,11,Rob,Pannell,A,23,2025-ev-42,47.0
2025,11,Brett,Dobson,G,44,2025-ev-40,39.0
2025,11,Connor,Shellenberger,A,50,2025-ev-41,68.0
2025,11,Joseph,Nardella,FO,20,2025-ev-42,27.8
2025,11,Zach,Currier,M,16,2025-ev-41,13.5
